Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	hours_0	hours_6	hours_12	hours_18	hours_24	hours_30	hours_36	hours_42	hours_48	hours_54	hours_60	hours_66	hours_72	hours_78	hours_84	hours_90	hours_96	hours_102	hours_108	hours_114	hours_120	hours_126	hours_132	hours_138
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	A	1	1	A01	1.0192159999999999	1.4427220000000001	1.672191	1.844673	2.1889479999999999	2.428849	2.8808820000000002	3.507822	4.6760390000000003	6.1990959999999999	7.1203640000000004	8.8206659999999992	11.23578	14.49113	19.479130000000001	25.995360000000002	35.245359999999998	43.723590000000002	56.8949	70.544399999999996	82.627679999999998	90.554410000000004	95.049109999999999	96.713650000000001
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	B	1	2	B01	3.431076	3.7553879999999999	4.3565620000000003	4.967676	5.3551200000000003	6.0994169999999999	6.5960029999999996	7.5659039999999997	8.4509030000000003	10.419230000000001	12.19807	13.69806	18.24963	22.547409999999999	28.05836	35.989530000000002	47.03078	57.460740000000001	70.368219999999994	81.417720000000003	90.004980000000003	95.035160000000005	97.28192	98.769890000000004
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	C	1	3	C01	1.1041810000000001	1.304017	1.556697	1.944213	2.0920339999999999	2.3988010000000002	2.199862	2.9889860000000001	3.3798889999999999	6.1230500000000001	7.1303789999999996	8.9213210000000007	10.010429999999999	13.95171	17.308540000000001	22.7118	29.788779999999999	37.203740000000003	45.700740000000003	55.485500000000002	67.60378	77.109390000000005	83.455889999999997	88.240080000000006
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	D	1	4	D01	1.4993650000000001	1.855726	2.2032470000000002	2.4745750000000002	2.72912	3.6058370000000002	3.7817750000000001	4.6499259999999998	4.7512590000000001	5.7949999999999999	6.5663029999999996	8.8577589999999997	10.53797	14.28631	18.060220000000001	24.018730000000001	30.997	39.797220000000003	48.678930000000001	58.654710000000001	68.272850000000005	78.035629999999998	84.005809999999997	89.484210000000004
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	E	1	5	E01	2.1927490000000001	1.3867020000000001	1.6880090000000001	1.961411	2.302162	2.9650159999999999	3.123062	3.4732129999999999	5.1204739999999997	6.8983489999999996	8.2507269999999995	11.782999999999999	14.03716	19.556889999999999	24.60145	34.054650000000002	41.66516	53.483330000000002	64.325839999999999	78.063320000000004	89.420590000000004	94.359049999999996	96.948490000000007	98.348590000000002
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	F	1	6	F01	1.47132	1.569199	1.9770239999999999	2.1249850000000001	2.7836210000000001	3.2509929999999998	3.4745940000000002	3.754766	4.1820009999999996	7.291531	8.6950230000000008	11.49343	14.400219999999999	19.538519999999998	24.210139999999999	32.058909999999997	40.520240000000001	51.97137	63.445520000000002	74.870570000000001	84.107200000000006	88.741230000000002	93.826610000000002	96.022319999999993
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	G	1	7	G01	0.34531079999999997	2.3794580000000001	2.7289119999999998	3.0220699999999998	3.2659820000000002	3.4727960000000002	3.9691079999999999	4.5289000000000001	5.4880909999999998	7.0317379999999998	9.3107640000000007	11.61389	14.629630000000001	19.485959999999999	24.873190000000001	31.87433	39.856079999999999	52.585880000000003	62.903790000000001	74.413269999999997	83.229100000000003	90.455370000000002	93.018140000000002	96.340829999999997
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	H	1	8	H01	0.41625200000000001	1.8709229999999999	2.2718389999999999	2.5355699999999999	3.0508769999999998	3.4668549999999998	3.51742	3.9459	4.5222680000000004	4.1620369999999998	5.3748779999999998	5.7556940000000001	6.8862589999999999	9.1060210000000001	10.8019	13.63438	17.913640000000001	23.167359999999999	29.858689999999999	38.500300000000003	48.835479999999997	61.183309999999999	70.962239999999994	80.568020000000004
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	I	1	9	I01	0.35974780000000001	2.061296	2.5931129999999998	2.6555580000000001	3.5916769999999998	4.485036	5.3735660000000003	7.6211570000000002	9.8677150000000005	8.3099880000000006	12.50145	16.722829999999998	22.048120000000001	28.48621	36.565899999999999	46.148409999999998	58.611789999999999	67.262600000000006	78.594859999999997	85.576449999999994	90.747690000000006	94.511700000000005	96.978480000000005	98.568740000000005
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	J	1	10	J01	0.28956660000000001	1.9425559999999999	2.112825	2.7565409999999999	3.071666	3.6106720000000001	5.0368199999999996	6.5763910000000001	8.9902529999999992	10.83548	14.462730000000001	20.16939	25.353909999999999	31.830950000000001	38.583590000000001	48.429160000000003	57.550870000000003	67.136120000000005	75.823819999999998	80.886930000000007	89.480419999999995	92.348370000000003	95.309730000000002	97.486249999999998
