Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	hours_0	hours_6	hours_12	hours_18	hours_24	hours_30	hours_36	hours_42	hours_48	hours_54	hours_60	hours_66	hours_72	hours_78	hours_84	hours_90	hours_96	hours_102	hours_108	hours_114	hours_120	hours_126	hours_132	hours_138
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	A	1	1	A01	2.10433	2.8399130000000001	3.5225949999999999	3.8835190000000002	4.2005169999999996	4.4148639999999997	5.5240169999999997	5.7132129999999997	6.8252069999999998	5.9141560000000002	7.3217179999999997	9.3769399999999994	11.77478	15.142440000000001	19.584330000000001	25.099920000000001	33.421889999999998	43.137860000000003	53.888840000000002	66.541569999999993	79.211860000000001	86.962459999999993	92.902640000000005	96.519679999999994
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	B	1	2	B01	2.5559479999999999	3.0013489999999998	3.9115700000000002	4.0082779999999998	5.8806580000000004	6.0907140000000002	5.3866209999999999	6.8728590000000001	8.2371829999999999	8.6162010000000002	10.318440000000001	12.067310000000001	16.258240000000001	18.28238	23.706230000000001	28.750360000000001	36.405320000000003	47.966239999999999	58.951929999999997	69.236750000000001	79.732129999999998	87.934070000000006	92.839230000000001	95.521029999999996
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	C	1	3	C01	2.4523269999999999	3.0590820000000001	3.6523240000000001	3.6397560000000002	3.8860169999999998	4.3162979999999997	4.4034690000000003	4.0098739999999999	5.0496090000000002	4.2115669999999996	4.8551510000000002	6.5014450000000004	8.4337769999999992	10.14043	15.12504	18.7362	23.993230000000001	29.89226	38.747709999999998	49.606830000000002	62.113230000000001	71.883439999999993	82.257210000000001	88.530199999999994
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	D	1	4	D01	1.3658410000000001	2.0303499999999999	2.4034960000000001	2.6050589999999998	2.640908	2.8790840000000002	3.382517	3.997709	4.5399580000000004	6.7530140000000003	7.7196610000000003	9.0743159999999996	11.738580000000001	14.23258	18.631910000000001	24.462330000000001	30.79261	38.26153	47.690689999999996	60.991619999999998	72.396839999999997	83.900180000000006	90.454319999999996	95.576570000000004
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	E	1	5	E01	2.3160479999999999	3.2300520000000001	3.4557280000000001	3.9208249999999998	4.1527919999999998	4.3819850000000002	5.3417979999999998	5.5574539999999999	5.6672799999999999	5.7489280000000003	6.9693670000000001	8.8471229999999998	13.26675	15.918530000000001	21.684930000000001	27.76652	37.136389999999999	46.760750000000002	58.200369999999999	70.879450000000006	81.546490000000006	89.536010000000005	93.840479999999999	95.893839999999997
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	F	1	6	F01	1.148803	1.6619010000000001	2.2071139999999998	2.4131659999999999	3.1060660000000002	3.6923949999999999	4.422256	5.1425090000000004	6.1314739999999999	5.4304920000000001	6.4376239999999996	7.2782770000000001	9.3949669999999994	11.42897	15.502280000000001	19.748740000000002	25.443490000000001	32.486440000000002	40.565089999999998	52.732939999999999	63.684010000000001	75.254999999999995	85.104870000000005	90.82629
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	G	1	7	G01	1.8413580000000001	3.5226709999999999	4.0222329999999999	4.103675	4.7024270000000001	4.6763750000000002	5.4907899999999996	5.6497330000000003	6.5341110000000002	6.9301969999999997	8.2069329999999994	10.466889999999999	13.48911	16.45468	21.735009999999999	26.3095	33.358849999999997	42.449120000000001	53.626220000000004	66.43647	77.294439999999994	86.344570000000004	92.698589999999996	96.562280000000001
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	H	1	8	H01	1.5543499999999999	2.1769959999999999	2.5607129999999998	2.6603870000000001	3.3385069999999999	3.4571200000000002	3.6930839999999998	3.645972	4.0995280000000003	6.2046890000000001	7.3826470000000004	9.6048910000000003	11.11482	15.416600000000001	19.808540000000001	26.085000000000001	32.741239999999998	40.926169999999999	51.247700000000002	62.99456	73.248050000000006	82.577309999999997	88.669330000000002	93.236000000000004
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	I	1	9	I01	1.425937	2.5156070000000001	3.0473479999999999	3.346174	3.9769220000000001	3.932639	5.0868330000000004	5.3270099999999996	6.5171900000000003	12.596769999999999	17.846219999999999	22.925809999999998	28.33445	35.045879999999997	43.563789999999997	54.563720000000004	64.617279999999994	73.62124	82.911910000000006	90.075509999999994	93.554659999999998	96.065150000000003	97.777259999999998	98.607780000000005
20201130_AL	20201130_AL_02	2020-11-25T20:00:00Z	J	1	10	J01	1.7441	2.6886420000000002	2.9835250000000002	3.4575290000000001	4.1435930000000001	4.7059530000000001	5.9420010000000003	6.8732769999999999	8.8596240000000002	12.884550000000001	18.288440000000001	24.354320000000001	29.705369999999998	37.847810000000003	45.376130000000003	55.29974	67.794079999999994	76.342439999999996	86.030969999999996	92.600989999999996	94.858530000000002	96.708799999999997	98.304599999999994	98.902439999999999
