Plate_ID,Plate_Row,Plate_Col,Well_No,Well_ID,% Positive W2 (MultiWaveScoring),Cell: W2 Nucleus Average Intensity (MultiWaveScoring),Total Cells (MultiWaveScoring)
20201215_JM_02,A,1,1,A01,1.49786,636.81413,1402
20201215_JM_02,B,1,2,B01,83.333336,1362.447269,1224
20201215_JM_02,C,1,3,C01,8.011869,649.379924,337
20201215_JM_02,D,1,4,D01,4.627767,664.773273,994
20201215_JM_02,E,1,5,E01,6.509946,684.4486,553
20201215_JM_02,F,1,6,F01,3.015075,671.028613,995
20201215_JM_02,G,1,7,G01,7.97227,746.315791,577
20201215_JM_02,H,1,8,H01,5.378486,706.696009,502
20201215_JM_02,I,1,9,I01,5.815832,697.631031,619
20201215_JM_02,J,1,10,J01,7.528409,699.544065,704
20201215_JM_02,K,1,11,K01,6.972112,725.96236,502
20201215_JM_02,L,1,12,L01,5.995204,689.566671,417
20201215_JM_02,M,1,13,M01,7.750473,740.466249,529
20201215_JM_02,N,1,14,N01,47.159092,1031.465941,528
20201215_JM_02,O,1,15,O01,4.526046,720.681367,1171
20201215_JM_02,P,1,16,P01,0.877785,546.574729,1481
20201215_JM_02,A,2,17,A02,2.49017,660.997927,1526
20201215_JM_02,B,2,18,B02,80.224258,1262.397532,981
20201215_JM_02,C,2,19,C02,3.257329,691.119972,1228
20201215_JM_02,D,2,20,D02,3.156146,652.95866,1204
20201215_JM_02,E,2,21,E02,1.842299,676.973119,1357
20201215_JM_02,F,2,22,F02,2.312139,641.347133,1211
20201215_JM_02,G,2,23,G02,4.102167,669.774533,1292
20201215_JM_02,H,2,24,H02,3.039514,668.618627,987
20201215_JM_02,I,2,25,I02,3.577513,690.0235,1174
20201215_JM_02,J,2,26,J02,2.729045,704.043602,1026
20201215_JM_02,K,2,27,K02,1.893408,683.899727,1426
20201215_JM_02,L,2,28,L02,2.608696,717.886288,1265
20201215_JM_02,M,2,29,M02,4.027885,747.764202,1291
20201215_JM_02,N,2,30,N02,58.400002,1104.119662,625
20201215_JM_02,O,2,31,O02,4.958678,725.941248,1452
20201215_JM_02,P,2,32,P02,0.05277,554.65648,1895
20201215_JM_02,A,3,33,A03,5.361132,651.180865,1343
20201215_JM_02,B,3,34,B03,86.009171,1162.454919,436
20201215_JM_02,C,3,35,C03,9.441489,677.669767,752
20201215_JM_02,D,3,36,D03,5.593607,647.376275,876
20201215_JM_02,E,3,37,E03,7.116105,716.906767,267
20201215_JM_02,F,3,38,F03,3.787879,615.016778,528
20201215_JM_02,G,3,39,G03,5.742822,647.189158,801
20201215_JM_02,H,3,40,H03,6.414474,678.70107,608
20201215_JM_02,I,3,41,I03,10.948905,855.013736,411
20201215_JM_02,J,3,42,J03,4.72973,675.096139,740
20201215_JM_02,K,3,43,K03,7.692307,703.085918,702
20201215_JM_02,L,3,44,L03,12.296984,830.533421,431
20201215_JM_02,M,3,45,M03,12.087913,701.654526,455
20201215_JM_02,N,3,46,N03,91.129036,1504.543442,124
20201215_JM_02,O,3,47,O03,21.756487,749.130149,501
20201215_JM_02,P,3,48,P03,0,554.938341,1230
20201215_JM_02,A,4,49,A04,7.009346,668.096814,1070
20201215_JM_02,B,4,50,B04,88.516747,1327.117301,418
