Cell ID	Plate ID	Well Y	Well X	MEASUREMENT SET ID	Total Cells (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Scan_ID	Well_ID
10296_90547_90547_0	10296	3	18	20177	2827	14.927485000000001	97.842239000000006	10296	C18
10296_90546_90546_0	10296	4	18	20177	3588	13.405797	97.826087999999899	10296	D18
10296_90545_90545_0	10296	5	18	20177	3492	3.264605	100	10296	E18
10296_90544_90544_0	10296	6	18	20177	3848	9.6153849999999892	95.530144000000007	10296	F18
10296_90543_90543_0	10296	7	18	20177	3628	2.7287759999999901	90.876518000000004	10296	G18
10296_90542_90542_0	10296	8	18	20177	4691	6.2033680000000002	92.432320000000004	10296	H18
10296_90541_90541_0	10296	9	18	20177	5834	43.692149999999899	96.503258000000002	10296	I18
10296_90540_90540_0	10296	10	18	20177	5728	6.2150840000000001	94.622901999999897	10296	J18
10296_90539_90539_0	10296	11	18	20177	5977	24.5608159999999	96.570183	10296	K18
10296_90538_90538_0	10296	12	18	20177	6200	19.887096	96.096771000000004	10296	L18
10296_90537_90537_0	10296	13	18	20177	4850	4.8453609999999898	92.742271000000002	10296	M18
10296_90536_90536_0	10296	14	18	20177	5879	21.023983000000001	96.649094000000005	10296	N18
10296_90548_90548_0	10296	3	19	20177	209	1.9138759999999899	96.650718999999896	10296	C19
10296_90549_90549_0	10296	4	19	20177	94	1.0638300000000001	95.744681999999898	10296	D19
10296_90550_90550_0	10296	5	19	20177	179	3.35195499999999	97.765366	10296	E19
10296_90551_90551_0	10296	6	19	20177	268	9.701492	99.253731000000002	10296	F19
10296_90552_90552_0	10296	7	19	20177	1257	17.0246619999999	98.488463999999894	10296	G19
10296_90553_90553_0	10296	8	19	20177	4758	7.1248420000000001	94.5565339999999	10296	H19
10296_90554_90554_0	10296	9	19	20177	4859	8.5408519999999903	92.447006000000002	10296	I19
10296_90555_90555_0	10296	10	19	20177	5266	18.685908999999899	96.467911000000001	10296	J19
10296_90556_90556_0	10296	11	19	20177	6603	12.252007000000001	96.759048000000007	10296	K19
10296_90557_90557_0	10296	12	19	20177	5787	13.824088	95.645409000000001	10296	L19
10296_90558_90558_0	10296	13	19	20177	5046	4.6175189999999899	92.707092000000003	10296	M19
10296_90559_90559_0	10296	14	19	20177	5055	11.454006	95.588524000000007	10296	N19
10296_90571_90571_0	10296	3	20	20177	180	0	95.555556999999894	10296	C20
10296_90570_90570_0	10296	4	20	20177	160	6.25	98.125	10296	D20
10296_90569_90569_0	10296	5	20	20177	135	2.96296299999999	97.037041000000002	10296	E20
10296_90568_90568_0	10296	6	20	20177	766	15.796345000000001	99.216712999999899	10296	F20
10296_90567_90567_0	10296	7	20	20177	1284	15.887851	98.442368000000002	10296	G20
10296_90566_90566_0	10296	8	20	20177	6134	12.455168	95.875450000000001	10296	H20
10296_90565_90565_0	10296	9	20	20177	4855	28.836252000000002	94.768280000000004	10296	I20
10296_90564_90564_0	10296	10	20	20177	5427	15.2570479999999	96.130454999999898	10296	J20
10296_90563_90563_0	10296	11	20	20177	6135	22.5590879999999	96.870414999999895	10296	K20
10296_90562_90562_0	10296	12	20	20177	6263	14.449944	95.561233999999899	10296	L20
10296_90561_90561_0	10296	13	20	20177	4784	8.9464880000000004	92.872069999999894	10296	M20
10296_90560_90560_0	10296	14	20	20177	5671	14.4947979999999	95.891379999999899	10296	N20
10296_90572_90572_0	10296	3	21	20177	775	4	98.967742999999899	10296	C21
10296_90573_90573_0	10296	4	21	20177	596	3.3557049999999902	98.825500000000005	10296	D21
10296_90574_90574_0	10296	5	21	20177	1511	5.6915950000000004	99.205826000000002	10296	E21
10296_90575_90575_0	10296	6	21	20177	3973	17.518248	98.338783000000006	10296	F21
10296_90576_90576_0	10296	7	21	20177	4503	5.5740619999999899	90.006659999999897	10296	G21
10296_90577_90577_0	10296	8	21	20177	4340	3.087558	89.723502999999894	10296	H21
10296_90578_90578_0	10296	9	21	20177	5129	65.158896999999897	99.044646999999898	10296	I21
10296_90579_90579_0	10296	10	21	20177	5259	50.218674	98.649933000000004	10296	J21
10296_90580_90580_0	10296	11	21	20177	6757	38.789402000000003	97.158501000000001	10296	K21
10296_90581_90581_0	10296	12	21	20177	5985	21.152882000000002	96.173766999999899	10296	L21
10296_90582_90582_0	10296	13	21	20177	5490	7.759563	92.896172000000007	10296	M21
10296_90583_90583_0	10296	14	21	20177	5500	10.345454	96.145454000000001	10296	N21
10296_90595_90595_0	10296	3	22	20177	506	3.952569	98.221344000000002	10296	C22
10296_90594_90594_0	10296	4	22	20177	791	4.424779	98.735778999999894	10296	D22
