Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	Calculated.results..Calc.1..Crosstalk...Crosstalk.correction.where.Label...Glo.US.LUM.384..cps..1..channel.1	Results.for.Glo.US.LUM.384..cps..1....channel.0..CPS.	NA.
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	5	66	B05	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	5	67	C05	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	5	68	D05	320	320	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	5	69	E05	1480	1480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	5	70	F05	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	5	71	G05	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	5	72	H05	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	5	73	I05	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	5	74	J05	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	5	75	K05	1080	1080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	5	76	L05	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	5	77	M05	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	5	78	N05	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	5	79	O05	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	5	80	P05	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	6	81	A06	1000	1000	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	6	82	B06	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	6	83	C06	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	6	84	D06	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	6	85	E06	1000	1000	-
