corner,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Experiment_ID,Date,Plate_ID,Plate Code,,Plate Description,,,,Scan_ID,,Cell_Line,Time,,,,,,,
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,IFN-g,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,,,,,,,,,,,,,,,,,,,,,,,
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,cytokine,conc,,,,,,,,,,,,,,,,,,,,,
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,NULL,NULL
NULL,NULL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL,NULL
NULL,NULL,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,NULL,NULL
NULL,NULL,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,NULL,NULL
NULL,NULL,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,NULL,NULL
NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL
NULL,NULL,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,NULL,NULL
NULL,NULL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,NULL,NULL
NULL,NULL,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,NULL,NULL
NULL,NULL,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,NULL,NULL
NULL,NULL,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,1.5625,NULL,NULL
NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,,,,,,,,,,,,,,,,,,,,,,,
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,antibody,ID,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,pSTAT1,pSTAT1,pSTAT1,pSTAT1,pSTAT1,total STAT1,total STAT1,total STAT1,total STAT1,total STAT1,MAR,MAR,MAR,MAR,MAR,PARP14,PARP14,PARP14,PARP14,PARP14,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
