Plate ID	Well Name	MEASUREMENT SET ID	Cell: W2 Nucleus Average Intensity (MultiWaveScoring)	Cell: W2 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W2 Cell Average Intensity (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	Cell: W3 Nucleus Average Intensity (MultiWaveScoring)	Cell: W3 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W3 Cell Average Intensity (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Total Cells (MultiWaveScoring)	Cell.line	Timepoint
10368	F22	20277	5091.660626	5089.664351	5056.84161	100	5091.660626	5089.664351	5056.84161	98.897583	2812	A375	Day01
10368	G13	20277	950.0443968	847.9679008	986.9856548	55.700577	950.0443968	847.9679008	986.9856548	0	2605	A375	Day01
10368	G14	20277	861.3734234	1068.902389	934.2022348	66.922516	861.3734234	1068.902389	934.2022348	3.65E-02	2736	A375	Day01
10368	G15	20277	1000.930644	892.4394694	1035.592584	55.81982	1000.930644	892.4394694	1035.592584	0	2775	A375	Day01
10368	G16	20277	869.0570883	453.2179041	879.2386994	33.736019	869.0570883	453.2179041	879.2386994	4.47E-02	2235	A375	Day01
10368	G17	20277	1013.652643	64.2112667	1013.766788	3.118279	1013.652643	64.2112667	1013.766788	5.38E-02	1860	A375	Day01
10368	G18	20277	3502.768341	3125.83416	3275.589028	99.895401	3502.768341	3125.83416	3275.589028	44.037659	1912	A375	Day01
10368	G19	20277	3357.94355	3086.821433	3189.649349	99.915039	3357.94355	3086.821433	3189.649349	42.778252	2354	A375	Day01
10368	G20	20277	3072.401395	2716.715735	2859.081303	99.94577	3072.401395	2716.715735	2859.081303	35.900215	1844	A375	Day01
10368	G21	20277	3324.953675	3597.581661	3481.988259	100	3324.953675	3597.581661	3481.988259	85.776649	2749	A375	Day01
10368	G22	20277	4162.115439	4480.916558	4333.347596	100	4162.115439	4480.916558	4333.347596	95.535416	2979	A375	Day01
10368	H13	20277	712.3342348	787.3053419	758.9925776	45.17691	712.3342348	787.3053419	758.9925776	0	2685	A375	Day01
10368	H14	20277	675.0884129	38.4707849	675.6489895	3.253012	675.0884129	38.4707849	675.6489895	0	1660	A375	Day01
10368	H15	20277	657.7375326	33.31105094	658.3237964	2.519894	657.7375326	33.31105094	658.3237964	0	1508	A375	Day01
10368	H16	20277	669.8773749	762.0747754	716.4747818	44.519016	669.8773749	762.0747754	716.4747818	7.46E-02	2682	A375	Day01
10368	H17	20277	813.290578	901.3243858	858.1866264	47.248508	813.290578	901.3243858	858.1866264	7.01E-02	2853	A375	Day01
10368	H18	20277	2831.171453	3028.468161	2942.773006	99.96624	2831.171453	3028.468161	2942.773006	65.293724	2962	A375	Day01
10368	H19	20277	2857.93949	2586.672645	2689.354132	100	2857.93949	2586.672645	2689.354132	27.132805	2274	A375	Day01
10368	H20	20277	2554.655315	2711.192145	2641.662851	99.96077	2554.655315	2711.192145	2641.662851	50.490387	2549	A375	Day01
10368	H21	20277	2576.995091	2306.048709	2413.893702	99.723907	2576.995091	2306.048709	2413.893702	14.135837	1811	A375	Day01
10368	H22	20277	2784.614929	2935.836872	2869.54691	99.926414	2784.614929	2935.836872	2869.54691	58.278145	2718	A375	Day01
10368	I13	20277	561.8500604	22.78193444	560.268334	0.831683	561.8500604	22.78193444	560.268334	0.19802	2525	A375	Day01
10368	I14	20277	503.4448984	30.98030167	504.1920087	0.670083	503.4448984	30.98030167	504.1920087	3.94E-02	2537	A375	Day01
10368	I15	20277	715.7809005	5.601213762	716.0257829	0.277557	715.7809005	5.601213762	716.0257829	3.97E-02	2522	A375	Day01
10368	I16	20277	597.783287	15.01928619	597.7627898	0.875657	597.783287	15.01928619	597.7627898	7.01E-02	2855	A375	Day01
10368	I17	20277	677.127058	61.48468232	678.8803104	1.286391	677.127058	61.48468232	678.8803104	0	2954	A375	Day01
10368	I18	20277	12949.39261	14662.39287	13846.21864	100	12949.39261	14662.39287	13846.21864	100	2961	A375	Day01
10368	I19	20277	12334.81921	10952.45837	11401.31	100	12334.81921	10952.45837	11401.31	99.909584	2212	A375	Day01
10368	I20	20277	11894.10988	13326.30883	12627.8037	99.96373	11894.10988	13326.30883	12627.8037	99.92746	2757	A375	Day01
10368	I21	20277	12735.42392	14615.55055	13727.03331	99.965569	12735.42392	14615.55055	13727.03331	99.896698	2904	A375	Day01
10368	I22	20277	12888.91957	14613.38338	13800.64583	100	12888.91957	14613.38338	13800.64583	99.891426	2763	A375	Day01
10368	J13	20277	565.3819975	0	565.3819975	0	565.3819975	0	565.3819975	0	1917	A375	Day01
10368	J14	20277	510.3078093	16.34718357	502.5917498	0.738809	510.3078093	16.34718357	502.5917498	4.35E-02	2301	A375	Day01
10368	J15	20277	780.947516	46.99245343	772.8898986	0.678253	780.947516	46.99245343	772.8898986	8.48E-02	2359	A375	Day01
10368	J16	20277	584.3517813	20.27573305	575.4118281	0.785124	584.3517813	20.27573305	575.4118281	0.206612	2420	A375	Day01
10368	J17	20277	713.3008967	50.07602166	714.8804523	0.362188	713.3008967	50.07602166	714.8804523	0	2761	A375	Day01
10368	J18	20277	10196.18278	11581.64039	10959.80743	99.959869	10196.18278	11581.64039	10959.80743	99.919746	2492	A375	Day01
10368	J19	20277	10392.1707	11516.02328	10970.07696	99.960663	10392.1707	11516.02328	10970.07696	99.842644	2542	A375	Day01
10368	J20	20277	10328.29326	9396.225078	9646.269651	99.955215	10328.29326	9396.225078	9646.269651	99.865654	2233	A375	Day01
10368	J21	20277	10721.16899	8875.486553	9538.23097	100	10721.16899	8875.486553	9538.23097	99.944443	1800	A375	Day01
10368	J22	20277	10066.97682	8502.928701	9065.65467	100	10066.97682	8502.928701	9065.65467	99.865952	1492	A375	Day01
10368	K13	20277	608.197351	0.425853149	608.2013824	4.25E-02	608.197351	0.425853149	608.2013824	0	2354	A375	Day01
10368	K14	20277	511.0780018	26.58828244	510.4241511	0.296956	511.0780018	26.58828244	510.4241511	0.03712	2694	A375	Day01
10368	K15	20277	613.538142	5.403824711	614.0586714	0.345508	613.538142	5.403824711	614.0586714	0	2026	A375	Day01
10368	K16	20277	583.7103687	15.05169491	583.9653312	0.233256	583.7103687	15.05169491	583.9653312	3.33E-02	3001	A375	Day01
10368	K17	20277	593.5627725	7.186406716	593.8289526	0.372902	593.5627725	7.186406716	593.8289526	0.124301	1609	A375	Day01
10368	K18	20277	8816.095034	9785.864282	9332.628079	100	8816.095034	9785.864282	9332.628079	99.792313	2889	A375	Day01
10368	K19	20277	8356.650105	7323.793926	7701.725745	100	8356.650105	7323.793926	7701.725745	99.646111	1978	A375	Day01
