,,,,Experiment_ID,,Date,,,Plate_ID,,Drug_ID,,Drug_conc,,Drug_unit,,Drug_control,,,,,,
None,None,None,Rep_1,Rep_2,Rep_3,Rep_1,Rep_2,Rep_3,Rep_1,Rep_2,Rep_3,Rep_1,Rep_2,Rep_3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,Rep_1,Rep_2,Rep_3,Rep_1,Rep_2,Rep_3,Rep_1,Rep_2,Rep_3,Rep_1,Rep_2,Rep_3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
,,,,,,,,,,,,,,,,,,,,,,,
,variable,factor,,,,,,,,,,,,,,,,,,,,,
,hIFN_supplyment,ID,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
None,None,None,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,Chronic_IFNg_5ng_ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,Acute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
None,None,None,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,Chronic_IFNg_1ng_ml,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
